City,Country,Latitude,Longitude,Date,Temp,Cloudiness,Humidity,Wind Speed
Ancud,CL,-41.87,-73.83,1538177416,48.93,92,98,8.41
Tambun,MY,4.62,101.14,1538175600,77.0,75,94,1.14
Margate,AU,-43.03,147.26,1538175600,50.0,20,46,23.04
Victor Harbor,AU,-35.55,138.62,1538175600,53.6,20,54,5.82
Ushuaia,AR,-54.81,-68.31,1538175600,37.4,90,86,21.92
Lompoc,US,34.64,-120.46,1538175360,77.0,1,72,16.11
Punta Arenas,CL,-53.16,-70.91,1538175600,41.0,0,100,8.05
Naze,NG,5.43,7.07,1538172000,73.4,40,94,1.59
Port-Gentil,GA,-0.72,8.78,1538175600,78.8,75,88,6.93
Port Elizabeth,US,39.31,-74.98,1538175360,66.92,1,93,4.38
Caucaia,BR,-3.73,-38.66,1538175600,80.6,0,74,9.17
Puerto Ayora,EC,-0.74,-90.35,1538175600,77.0,20,73,19.46
Lebu,ET,8.96,38.73,1538175600,59.0,20,47,9.17
Rikitea,PF,-23.12,-134.97,1538177573,71.88,92,100,4.83
Albany,US,42.65,-73.75,1538175900,59.0,75,77,3.36
Geraldton,CA,49.72,-86.95,1538175600,41.0,75,65,2.24
Yining,CN,29.04,114.56,1538177864,66.93,0,84,3.49
Vaini,IN,15.34,74.49,1538177567,68.73,92,98,2.15
Neuquen,AR,-38.95,-68.06,1538175600,66.2,0,32,16.11
Pevek,RU,69.7,170.27,1538177809,44.07,56,90,3.38
Santa Cruz,US,36.97,-122.03,1538175780,71.6,20,67,6.93
Fortuna,ES,38.18,-1.13,1538175600,68.0,0,82,4.7
Port Alfred,ZA,-33.59,26.89,1538177646,63.06,0,85,26.98
Los Llanos de Aridane,ES,28.66,-17.92,1538175600,73.4,44,73,13.87
Kupang,ID,-10.16,123.6,1538175600,82.4,20,54,3.36
Kapaa,US,22.08,-159.32,1538175360,84.92,75,79,17.22
Singaparna,ID,-7.35,108.11,1538177867,60.63,20,90,1.7
Abu Kamal,SY,34.45,40.92,1538177868,65.49,0,33,4.94
Cape Town,ZA,-33.93,18.42,1538175600,48.2,20,81,3.36
Sachin,FR,50.49,2.38,1538177400,48.2,0,87,11.41
Barentu,ER,15.11,37.59,1538177869,60.36,20,67,3.94
Pavlovka,RU,52.69,47.13,1538177869,51.45,32,75,15.68
Butaritari,KI,3.07,172.79,1538177663,85.29,0,100,6.85
Virginia Beach,US,36.85,-75.98,1538176560,73.94,75,76,4.7
Vershino-Darasunskiy,RU,52.35,115.52,1538177870,47.67,32,76,6.17
Moose Factory,CA,51.26,-80.61,1538175840,39.2,90,86,3.36
Amahai,ID,-3.31,129.0,1538177871,79.17,88,100,9.19
Ojinaga,US,29.56,-104.41,1538177727,85.29,0,27,2.82
Kyshtovka,RU,56.56,76.62,1538177872,44.7,8,91,15.79
Cidreira,BR,-30.17,-50.22,1538177624,66.93,56,92,20.15
Dagda,LV,56.09,27.54,1538177872,40.83,8,93,9.75
Bambous Virieux,MU,-20.34,57.76,1538175600,71.6,40,73,10.29
Kungurtug,RU,50.6,97.53,1538177873,16.53,0,70,2.37
Reconquista,AR,-29.14,-59.64,1538177873,79.98,24,69,10.31
Barrow,AR,-38.31,-60.23,1538177689,59.91,92,97,7.96
Road Town,VG,18.42,-64.62,1538175600,80.6,40,78,10.29
Dicabisagan,PH,17.08,122.42,1538177874,81.24,12,100,5.06
Jamestown,AU,-33.21,138.6,1538177691,52.08,0,47,8.97
Golden,CA,51.3,-116.96,1538175600,51.8,90,43,2.24
Goundam,ML,16.42,-3.66,1538177875,80.7,8,59,7.63
Sao Gabriel da Cachoeira,BR,-0.13,-67.09,1538177875,77.73,56,92,0.92
Luderitz,NA,-26.65,15.16,1538177850,58.29,8,68,17.13
Qaqortoq,GL,60.72,-46.03,1538175000,37.4,0,69,17.22
Tazovskiy,RU,67.47,78.7,1538177876,52.08,8,66,19.71
Saldanha,PT,41.42,-6.55,1538177548,60.27,8,69,6.62
Dikson,RU,73.51,80.55,1538177563,40.02,64,89,14.67
Dunmore Town,BS,25.5,-76.65,1538177877,82.77,92,100,20.83
Mataura,NZ,-46.19,168.86,1538177538,58.74,80,62,25.08
Narsaq,GL,60.91,-46.05,1538175000,37.4,0,69,17.22
Denpasar,ID,-8.65,115.22,1538177878,74.67,20,89,2.15
Krasnovishersk,RU,60.4,57.08,1538177878,40.56,92,99,8.63
Khatanga,RU,71.98,102.47,1538177584,40.83,12,90,12.88
